Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Rione VI Parione,InRome Cooking Classes,5.0,1335,"5.0(1,335)","InRome Cooking Classes
5.0(1,335)
Restaurant · Corso del Rinascimento, 65
Closed ⋅ Opens 9 AM",12.19668657083435,True
Rione VI Parione,La Nuova Piazzetta Navona,4.9,5004,"4.9(5,004) · €20–30","La Nuova Piazzetta Navona
4.9(5,004) · €20–30
Restaurant ·  · Via della Posta Vecchia, 4
Closed ⋅ Opens 11:30 AM",13.417992871586803,True
Rione VI Parione,PanDivino - Focacceria Taperia,4.9,1063,"4.9(1,063) · €1–10","PanDivino - Focacceria Taperia
4.9(1,063) · €1–10
Sandwich ·  · Via del Paradiso, 39
Snug locale for light bites & desserts
Closed ⋅ Opens 12 PM",11.868850378341948,True
Rione VI Parione,FIORE,4.9,729,4.9(729) · €1–10,"FIORE
4.9(729) · €1–10
Pizza · Piazza Pollarola, 29
Closed ⋅ Opens 11:30 AM",11.491673732008659,True
Rione VI Parione,Rione XIV Bistrot,4.8,1753,"4.8(1,753) · €20–30","Rione XIV Bistrot
4.8(1,753) · €20–30
Bistro · Borgo Pio, 21
Hearty Italian cooking in cozy surrounds
Closed ⋅ Opens 12 PM Mon",12.269083884921233,True
Rione VI Parione,Taverna Lucifero,4.8,1205,"4.8(1,205) · $$","Taverna Lucifero
4.8(1,205) · $$
Restaurant ·  · Via del Monte della Farina, 43
Cozy setting for truffle-focused dishes
Closed ⋅ Opens 7 PM Mon",11.894234845924755,True
Rione VI Parione,Pizzeria Italia dal 1987,4.8,1146,"4.8(1,146) · €1–10","Pizzeria Italia dal 1987
4.8(1,146) · €1–10
Pizza · Corso d'Italia, 103
Unpretentious nook for classic fare
Closed ⋅ Opens 9 AM Mon",11.844032897274685,True
Rione VI Parione,Amerina la Pizzetta,4.8,853,4.8(853) · €10–20,"Amerina la Pizzetta
4.8(853) · €10–20
Pizza · Largo dei Librari, 82
Closed ⋅ Opens 11 AM",11.548759547491679,True
Rione VI Parione,Reserva Restaurante y Cocteles,4.8,467,4.8(467),"Reserva Restaurante y Cocteles
4.8(467)
Latin American ·  · Via del Pellegrino, 160/164
Posh spot for Latin American fare & wine
Closed ⋅ Opens 12 PM",10.946329257668896,True
Rione VI Parione,Rosina Cucina Di Casa,4.8,466,4.8(466) · €20–30,"Rosina Cucina Di Casa
4.8(466) · €20–30
Restaurant · Vicolo delle Grotte, 27
Closed ⋅ Opens 12 PM",10.944185634125645,True
Rione VI Parione,Piro',4.8,454,4.8(454),"Piro'
4.8(454)
Seafood ·  · Vicolo della Cancelleria, 36
Handsome eatery for Italian seafood
Closed ⋅ Opens 7 PM Mon",10.918097198041348,True
Rione VI Parione,Enea Ristorante,4.8,286,4.8(286),"Enea Ristorante
4.8(286)
Restaurant · Via Boncompagni, 83
Closed ⋅ Opens 12 PM",10.455991810819853,True
Rione VI Parione,Ruma Bottega & Cucina Agricola,4.8,267,4.8(267),"Ruma Bottega & Cucina Agricola
4.8(267)
Bistro · Via di Parione, 13
Closed ⋅ Opens 11 AM",10.38724865840025,True
Rione VI Parione,Ristorante Pancrazio dal 1922,4.7,7532,"4.7(7,532) · €20–30","Ristorante Pancrazio dal 1922
4.7(7,532) · €20–30
Roman ·  · Piazza del Biscione, 92
Roman cuisine in a classical setting
Closed ⋅ Opens 9 AM",13.626915889777042,True
Rione VI Parione,Mimì e Cocò,4.7,7253,"4.7(7,253) · €20–30","Mimì e Cocò
4.7(7,253) · €20–30
Bistro · Via del Governo Vecchio, 72
Cozy venue for Roman food & wines
Closed ⋅ Opens 10 AM",13.589170455363412,True
Rione VI Parione,Gandhi 2 Indian Restaurant,4.7,6032,"4.7(6,032) · €20–30","Gandhi 2 Indian Restaurant
4.7(6,032) · €20–30
Indian ·  · Via Genova, 29/A
Warm Indian venue with veggie options
Closed ⋅ Opens 12 PM",13.404833909687792,True
Rione VI Parione,al42 by Pasta Chef rione Monti,4.7,5673,"4.7(5,673) · €10–20","al42 by Pasta Chef rione Monti
4.7(5,673) · €10–20
Italian ·  · Via Baccina, 42
Basic setup for pasta & steaks
Closed ⋅ Opens 12:30 PM",13.343473357326566,True
Rione VI Parione,Mariuccia,4.7,5511,"4.7(5,511) · €10–20","Mariuccia
4.7(5,511) · €10–20
Pizza ·  · P.za della Cancelleria, 92
Lasagne, cocktails & thin-crust pizza
Closed ⋅ Opens 11 AM",13.314501373883235,True
Rione VI Parione,Ristorante Pizzeria La Sagrestia,4.7,4836,"4.7(4,836) · €10–20","Ristorante Pizzeria La Sagrestia
4.7(4,836) · €10–20
Restaurant · Via del Seminario, 89
Closed ⋅ Opens 11:30 AM",13.183843211734683,True
