Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Passy,burger 47,4.9,776,4.9(776) · €10–20,"burger 47
4.9(776) · €10–20
Hamburger ·  · 47 Av. Raymond Poincaré
Closed ⋅ Opens 7 PM",11.55415252018322,True
Passy,Talai Lamo Restaurant,4.9,376,4.9(376) · €20–30,"Talai Lamo Restaurant
4.9(376) · €20–30
Tibetan ·  · 18 Boulevard Exelmans
Closed ⋅ Opens 11 AM Mon",10.829589143389896,True
Passy,Mallory Gabsi,4.8,1954,"4.8(1,954) · €100+","Mallory Gabsi
4.8(1,954) · €100+
Haute French ·  · 28 Rue des Acacias
High-concept fare in posh surrounds
Closed ⋅ Opens 12:30 PM Mon",12.377633832602728,True
Passy,Langousta,4.8,491,4.8(491),"Langousta
4.8(491)
Seafood ·  · 20 Rue Singer
Closed ⋅ Opens 7 PM",10.99644412779452,True
Passy,HSP La Table - Huîtres et Saumons de Passy,4.8,433,4.8(433) · $$,"HSP La Table - Huîtres et Saumons de Passy
4.8(433) · $$
Oyster Bar · 17 Rue de l'Annonciation
Fashionable choice for seafood & wine
Closed ⋅ Opens 12 PM Tue",10.870737728002489,True
Passy,BAEZ,4.8,404,4.8(404),"BAEZ
4.8(404)
Argentinian ·  · 2 Rue de Sontay
Smart steakhouse for Argentinian staples
Closed ⋅ Opens 12 PM Tue",10.80141487796115,True
Passy,Pleine Terre,4.8,334,4.8(334) · €100+,"Pleine Terre
4.8(334) · €100+
Haute French · 15 Rue de Bassano
Gourmet cuisine in genteel environs
Closed ⋅ Opens 12 PM Tue",10.6111409929767,True
Passy,New Jawad Longchamp,4.7,4841,"4.7(4,841) · €20–30","New Jawad Longchamp
4.7(4,841) · €20–30
Indian ·  · 30 Rue de Longchamp
Modern space for curries & kebabs
Closed ⋅ Opens 11:45 AM",13.184876589939694,True
Passy,Mayfair Garden,4.7,2144,"4.7(2,144) · $$","Mayfair Garden
4.7(2,144) · $$
Indian ·  · 33 Rue de Longchamp
Relaxed eatery for classic Indian fare
Closed ⋅ Opens 12 PM",12.370428522190693,True
Passy,Pop's,4.7,1062,"4.7(1,062) · €20–30","Pop's
4.7(1,062) · €20–30
French ·  · 38 Rue du Ranelagh
Bright eatery for pizzas & steak
Closed ⋅ Opens 12 PM",11.667909201801884,True
Passy,Le Bizetro,4.7,851,4.7(851) · $$,"Le Bizetro
4.7(851) · $$
French ·  · 6 Rue Georges Bizet
Classic dishes in an old-world setting
Closed ⋅ Opens 12 PM Mon",11.446412128573375,True
Passy,Le CasseNoix,4.7,843,4.7(843) · $$,"Le CasseNoix
4.7(843) · $$
French ·  · 56 Rue de la Fédération
Cozy setting for bistro-style dining
Closed ⋅ Opens 12 PM Mon",11.436966958001856,True
Passy,Les Coltineurs,4.7,606,4.7(606),"Les Coltineurs
4.7(606)
French ·  · 97 Av. de Versailles
Closed ⋅ Opens 12 PM",11.106879986069314,True
Passy,La Petite Tour,4.7,605,4.7(605) · $$$,"La Petite Tour
4.7(605) · $$$
French ·  · 11 Rue de la Tour
Polished stop for elevated bistro dishes
Closed ⋅ Opens 12 PM Mon",11.105228458030842,True
Passy,Sunflower Café,4.7,414,4.7(414) · €10–20,"Sunflower Café
4.7(414) · €10–20
Restaurant · 41 Av. de Suffren
Chill spot for health-focused fare
Closed ⋅ Opens 10 AM Mon",10.725865973825314,True
Passy,Le Traiteur du Bois le Vent,4.7,394,4.7(394) · €10–20,"Le Traiteur du Bois le Vent
4.7(394) · €10–20
Lebanese · 63 Rue de Boulainvilliers
Established cafe for Lebanese fare
Closed ⋅ Opens 12 PM Mon",10.676350909297934,True
Passy,Lucia Pasta & Pizza,4.7,351,4.7(351) · €10–20,"Lucia Pasta & Pizza
4.7(351) · €10–20
Italian · 19 Rue Gustave Courbet
Closed ⋅ Opens 12 PM",10.560786223465865,True
Passy,Schum,4.7,317,4.7(317) · €20–30,"Schum
4.7(317) · €20–30
Restaurant · 50 Rue Lauriston
Compact stop for bistro classics
Closed ⋅ Opens 12 PM Mon",10.45890177387728,True
Passy,La famille & cie,4.7,298,4.7(298) · €20–30,"La famille & cie
4.7(298) · €20–30
Restaurant ·  · 6 Rue Fourcade
Closed ⋅ Opens 6 PM Mon",10.397093486505405,True
Passy,Settebello,4.7,252,4.7(252) · $$$,"Settebello
4.7(252) · $$$
Italian ·  · 9 Rue Duban
Closed ⋅ Opens 12 PM Tue",10.229429087511424,True
Passy,Le Drugstore,4.6,3705,"4.6(3,705)","Le Drugstore
4.6(3,705)
Brasserie ·  · 133 Av. des Champs-Élysées
Creative fare in a swanky setting
Closed ⋅ Opens 10 AM",12.817438537730187,True
Passy,L'Oiseau Blanc,4.6,1331,"4.6(1,331) · €100+","L'Oiseau Blanc
4.6(1,331) · €100+
Fine Dining ·  · 19 Av. Kléber
Refined rooftop eatery with modern fare
Closed ⋅ Opens 12 PM",11.793685818395112,True
Passy,Plan B - Bar bières crafts,4.6,883,4.6(883) · €10–20,"Plan B - Bar bières crafts
4.6(883) · €10–20
Bar · 28 Rue de Lourmel
Hip hangout for craft beer & snacks
Closed ⋅ Opens 5 PM",11.38332520060396,True
Passy,Les Saveurs du Maroc,4.6,858,4.6(858) · €20–30,"Les Saveurs du Maroc
4.6(858) · €20–30
Moroccan · 51 Rue Rouelle
Unique Moroccan spot with tajines & teas
Closed ⋅ Opens 12 PM",11.354604099487961,True
Passy,Le Paris Seize,4.6,816,4.6(816) · $$,"Le Paris Seize
4.6(816) · $$
French ·  · 18 Rue des Belles Feuilles
Closed ⋅ Opens 12 PM Mon",11.304414354964106,True
