Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Villette,Midi12 La Fayette,4.7,1462,"4.7(1,462) · $$","Midi12 La Fayette
4.7(1,462) · $$
Crêperie ·  · 12 Rue La Fayette
Modern cafe for galettes & crêpes
Closed",11.987560640309724,True
Villette,La Forge,4.7,1039,"4.7(1,039) · $$","La Forge
4.7(1,039) · $$
French ·  · 26 Av. Mathurin Moreau
Cool spot for inventive French classics
Closed ⋅ Opens 12 PM Mon",11.646013991099228,True
Villette,Mamagaya Pizza,4.7,733,4.7(733) · €10–20,"Mamagaya Pizza
4.7(733) · €10–20
Pizza ·  · 132 Bd de la Villette
Closed ⋅ Opens 3 PM",11.297145701886652,True
Villette,Trois B,4.7,646,4.7(646),"Trois B
4.7(646)
Restaurant ·  · 48 Av. Jean Jaurès
Informal, glass-fronted restaurant
Closed ⋅ Opens 12 PM Tue",11.170799503782602,True
Villette,Jeannette,4.7,295,4.7(295) · €20–30,"Jeannette
4.7(295) · €20–30
Restaurant ·  · 143 Av. Jean Jaurès
Closed ⋅ Opens 10:30 AM",10.386975356339821,True
Villette,Coup de Tête,4.7,281,4.7(281) · €20–30,"Coup de Tête
4.7(281) · €20–30
Restaurant ·  · 107 Rue de Belleville
Closed ⋅ Opens 12 PM Tue",10.338354669333746,True
Villette,Au Comptoir Du Temps,4.6,1179,"4.6(1,179) · €20–30","Au Comptoir Du Temps
4.6(1,179) · €20–30
Restaurant ·  · 35 Av. Corentin Cariou
Closed ⋅ Opens 11 AM",11.67242190053737,True
Villette,L'Escargot Bar,4.6,656,4.6(656) · €20–30,"L'Escargot Bar
4.6(656) · €20–30
Restaurant ·  · 50 Rue de la Villette
Bistro cuisine with a convivial vibe
Closed ⋅ Opens 5 PM Tue",11.086160788944088,True
Villette,AFRIK ASIAN ORIGINAL’S,4.6,638,4.6(638) · €10–20,"AFRIK ASIAN ORIGINAL’S
4.6(638) · €10–20
Restaurant · 23 Rue Eugène Jumin
Closed ⋅ Opens 12 PM",11.058338283344789,True
Villette,Elmer,4.6,581,4.6(581) · €100+,"Elmer
4.6(581) · €100+
French ·  · 30 Rue Notre Dame de Nazareth
Upscale place for refined French cuisine
Closed ⋅ Opens 12:15 PM Tue",10.96475075685191,True
Villette,À l'Endroit,4.6,563,4.6(563) · $$,"À l'Endroit
4.6(563) · $$
French ·  · 9 Rue du Tunnel
Seasonal cuisine & a shaded terrace
Closed ⋅ Opens 12 PM",10.93327962813969,True
Villette,Mushimushi,4.6,560,4.6(560) · €10–20,"Mushimushi
4.6(560) · €10–20
Hot Pot · 31 Av. Corentin Cariou
Closed ⋅ Opens 12 PM Mon",10.927936783729194,True
Villette,Vieux Belleville,4.6,544,4.6(544) · $$,"Vieux Belleville
4.6(544) · $$
French ·  · 12 Rue des Envierges
Closed ⋅ Opens 10 AM",10.898949246855942,True
Villette,Symphony | Restaurant Italien | Restaurant Villette | Restaurant Paris 19,4.6,522,4.6(522) · €20–30,"Symphony | Restaurant Italien | Restaurant Villette | Restaurant Paris 19
4.6(522) · €20–30
Italian ·  · 25 Sente des Dorées
Closed ⋅ Opens 12 PM",10.857667587882638,True
Villette,Simonetta,4.5,2615,"4.5(2,615) · €20–30","Simonetta
4.5(2,615) · €20–30
Italian ·  · 32 Quai de la Marne
Chic standby for pizza & pasta
Closed ⋅ Opens 12 PM",12.369019376499022,True
Villette,La Cantine Bretonne,4.5,1759,"4.5(1,759) · $$","La Cantine Bretonne
4.5(1,759) · $$
Crêperie ·  · 22bis Rue de l'Ourcq
Chic eatery for classic Breton dishes
Opens soon ⋅ 8:30 AM",11.972500744737559,True
Villette,Mensae,4.5,892,4.5(892) · $$,"Mensae
4.5(892) · $$
Restaurant ·  · 23 Rue Melingue
Sleek place for refined tasting menus
Closed ⋅ Opens 12:15 PM Tue",11.29346613258001,True
Villette,Buono Sano Bello,4.5,563,4.5(563) · €20–30,"Buono Sano Bello
4.5(563) · €20–30
Italian · 14 Rue de la Villette
Closed ⋅ Opens 12:15 PM",10.83327962813969,True
Villette,Soces,4.5,547,4.5(547),"Soces
4.5(547)
Seafood ·  · 32 Rue de la Villette
Closed ⋅ Opens 12:30 PM",10.80444880242198,True
Villette,Water and dreams,4.5,477,4.5(477) · €20–30,"Water and dreams
4.5(477) · €20–30
Restaurant ·  · 9 Quai de l'Oise
Closed ⋅ Opens 11 AM",10.667516490888342,True
Villette,Restaurant Ventrus - Parc de La Villette,4.5,455,4.5(455),"Restaurant Ventrus - Parc de La Villette
4.5(455)
Restaurant ·  · croisement du canal de l'Ourcq et du canal Saint-Denis, 1 All. du Canal
Closed ⋅ Opens 12 PM",10.620297418950951,True
Villette,Le Bastringue,4.4,1932,"4.4(1,932) · €20–30","Le Bastringue
4.4(1,932) · €20–30
Bistro ·  · 67 Quai de la Seine
Charming bistro for French standards
Open ⋅ Closes 2 AM",11.966311014772463,True
Villette,Le Bastringue,4.4,1932,"4.4(1,932) · €20–30","Le Bastringue
4.4(1,932) · €20–30
Bistro ·  · 67 Quai de la Seine
Charming bistro for French standards
Open ⋅ Closes 2 AM",11.966311014772463,True
Villette,Le passage à niveau,4.4,778,4.4(778) · €20–30,"Le passage à niveau
4.4(778) · €20–30
Restaurant · 2A Rue de l'Ourcq
Airy restaurant with a vegetable garden
Closed ⋅ Opens 12 PM",11.05672652417839,True
Villette,Côté Canal,4.4,550,4.4(550) · €10–20,"Côté Canal
4.4(550) · €10–20
Restaurant ·  · 5 Quai de la Seine
Closed ⋅ Opens 10 AM",10.709918278226517,True
