Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Regola,InRome Cooking Classes,5.0,1335,"5.0(1,335)","InRome Cooking Classes
5.0(1,335)
Restaurant · Corso del Rinascimento, 65
Closed ⋅ Opens 9 AM",12.19668657083435,True
Regola,Poldo Panino League Roma,5.0,639,5.0(639) · €1–10,"Poldo Panino League Roma
5.0(639) · €1–10
Sandwich ·  · Via del Pellegrino, 107
Closed ⋅ Opens 11:30 AM",11.459904454377535,True
Regola,La Nuova Piazzetta Navona,4.9,5004,"4.9(5,004) · €20–30","La Nuova Piazzetta Navona
4.9(5,004) · €20–30
Restaurant ·  · Via della Posta Vecchia, 4
Closed ⋅ Opens 11:30 AM",13.417992871586803,True
Regola,Quel che c’è laboratorio Di Cucina,4.9,1268,"4.9(1,268) · €10–20","Quel che c’è laboratorio Di Cucina
4.9(1,268) · €10–20
Restaurant · Via Torino, 129
Closed ⋅ Opens 12:30 PM Mon",12.045196134997171,True
Regola,Osteria da Fortunata - Pantheon,4.8,3073,"4.8(3,073) · €20–30","Osteria da Fortunata - Pantheon
4.8(3,073) · €20–30
Restaurant ·  · Piazza della Rotonda, 6
Closed ⋅ Opens 11:30 AM",12.830409562130484,True
Regola,Rione XIV Bistrot,4.8,1753,"4.8(1,753) · €20–30","Rione XIV Bistrot
4.8(1,753) · €20–30
Bistro · Borgo Pio, 21
Hearty Italian cooking in cozy surrounds
Closed ⋅ Opens 12 PM Mon",12.269083884921233,True
Regola,Ristorante Dai Miei,4.8,1368,"4.8(1,368) · €20–30","Ristorante Dai Miei
4.8(1,368) · €20–30
Roman ·  · Via delle Fornaci, 75/77
Quaint option for homestyle eats & wine
Closed ⋅ Opens 12 PM",12.021105098182495,True
Regola,Taverna Lucifero,4.8,1205,"4.8(1,205) · $$","Taverna Lucifero
4.8(1,205) · $$
Restaurant ·  · Via del Monte della Farina, 43
Cozy setting for truffle-focused dishes
Closed ⋅ Opens 7 PM Mon",11.894234845924755,True
Regola,Sto Bene Roma,4.8,616,4.8(616) · €1–10,"Sto Bene Roma
4.8(616) · €1–10
Sandwich ·  · Piazza della Trinità dei Pellegrini, 88
Closed ⋅ Opens 9:30 AM Mon",11.22324696353352,True
Regola,Rosina Cucina Di Casa,4.8,466,4.8(466) · €20–30,"Rosina Cucina Di Casa
4.8(466) · €20–30
Restaurant · Vicolo delle Grotte, 27
Closed ⋅ Opens 12 PM",10.944185634125645,True
Regola,Casa Sceppa,4.8,285,4.8(285) · €20–30,"Casa Sceppa
4.8(285) · €20–30
Restaurant ·  · Via Angelo Ranucci, 40/46
Closed ⋅ Opens 12 PM",10.45248918026865,True
Regola,Nannarella,4.7,33199,"4.7(33,199) · €20–30","Nannarella
4.7(33,199) · €20–30
Roman ·  · Piazza di S. Calisto, 7/a
Classic locale for pizza & wine
Closed ⋅ Opens 11:30 AM",15.110275033969021,True
Regola,Otello,4.7,15015,"4.7(15,015) · €20–30","Otello
4.7(15,015) · €20–30
Roman · Via della Pelliccia, 47/53
Cool choice for typical Roman dining
Closed ⋅ Opens 11:30 AM",14.31680498041743,True
Regola,Supplì Roma,4.7,4437,"4.7(4,437) · €1–10","Supplì Roma
4.7(4,437) · €1–10
Pizza ·  · Via di S. Francesco a Ripa, 137
Takeaway stop for pasta, meats & pizza
Closed ⋅ Opens 10 AM Mon",13.097733751378911,True
Regola,Borghiciana Pastificio Artigianale,4.7,4073,"4.7(4,073) · €10–20","Borghiciana Pastificio Artigianale
4.7(4,073) · €10–20
Restaurant ·  · Borgo Pio, 186
Closed ⋅ Opens 11:45 AM Mon",13.012135107648412,True
Regola,La Prezzemolina,4.7,2607,"4.7(2,607) · €1–10","La Prezzemolina
4.7(2,607) · €1–10
Pizza · Via del Colosseo, 1 E/F
Unfussy pizzeria for Italian grub
Closed ⋅ Opens 11 AM",12.565955413933501,True
Regola,La Salumeria,4.7,1607,"4.7(1,607) · €10–20","La Salumeria
4.7(1,607) · €10–20
Restaurant ·  · Via del Banco di Santo Spirito, 24
Closed ⋅ Opens 11 AM",12.082124365737513,True
Regola,Il Panino Ingegnoso,4.7,1589,"4.7(1,589) · €1–10","Il Panino Ingegnoso
4.7(1,589) · €1–10
Sandwich ·  · P.za di Pietra, 35
Casual eatery specializing in sandwiches
Closed ⋅ Opens 11 AM",12.070860166536717,True
Regola,Anastasio,4.7,1323,"4.7(1,323) · €10–20","Anastasio
4.7(1,323) · €10–20
Restaurant · Via Anastasio II, 440
Closed ⋅ Opens 4 PM",11.887657164114955,True
Regola,Il Tarallo,4.7,879,4.7(879) · €20–30,"Il Tarallo
4.7(879) · €20–30
Roman · Vicolo della Scala, 3
Charming eatery for local cuisine
Closed ⋅ Opens 6:30 PM Sat",11.478784897685177,True
Regola,Est Artigiani del Gusto,4.7,876,4.7(876) · $$,"Est Artigiani del Gusto
4.7(876) · $$
Restaurant ·  · Vicolo della Cancelleria, 11
Elevated Italian fare in a classy eatery
Closed ⋅ Opens 12:30 PM",11.475366090936392,True
Regola,Clorofilla Cucina & Distillati,4.7,696,4.7(696) · $$$,"Clorofilla Cucina & Distillati
4.7(696) · $$$
Restaurant ·  · Vicolo delle Grotte, 17
Closed ⋅ Opens 12:30 PM",11.24534966033442,True
Regola,New Food Gluten Free - Ponte Sisto,4.7,583,4.7(583) · €1–10,"New Food Gluten Free - Ponte Sisto
4.7(583) · €1–10
Bakery ·  · P.za S. Vincenzo Pallotti, 208
Closed ⋅ Opens 9 AM",11.068187186350492,True
Regola,Zia Restaurant,4.7,557,4.7(557) · €100+,"Zia Restaurant
4.7(557) · €100+
Fine Dining ·  · Via Goffredo Mameli, 45
High-concept menu in a refined spot
Closed ⋅ Opens 7 PM Tue",11.022565239927285,True
Regola,Er pizzicarolo,4.7,490,4.7(490) · €10–20,"Er pizzicarolo
4.7(490) · €10–20
Sandwich · Vicolo del Cinque, 39
Closed ⋅ Opens 11 AM",10.894405391104673,True
