Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Oberkampf,Cellar,4.9,552,4.9(552),"Cellar
4.9(552)
Restaurant · 9 Rue de Crussol
Snug bistro offering local fare & wine
Closed ⋅ Opens 12 PM",11.213548046277095,True
Oberkampf,Eunoé,4.8,728,4.8(728),"Eunoé
4.8(728)
Restaurant ·  · 6 Rue Rochebrune
Closed ⋅ Opens 12 PM Tue",11.390301048196687,True
Oberkampf,L'insolite,4.8,482,4.8(482) · €30–50,"L'insolite
4.8(482) · €30–50
French ·  · 30 Rue de la Folie Méricourt
Closed ⋅ Opens 7 PM",10.9779441140506,True
Oberkampf,L'Acolyte de l'Insolite,4.8,461,4.8(461) · €20–30,"L'Acolyte de l'Insolite
4.8(461) · €20–30
Restaurant ·  · 49 Rue de la Folie Méricourt
Inventive cooking in a warm bistro
Closed ⋅ Opens 12 PM Mon",10.933398042996648,True
Oberkampf,Burger Oburg'kampf,4.8,432,4.8(432) · €10–20,"Burger Oburg'kampf
4.8(432) · €10–20
Fast Food ·  · 52 Rue de la Folie Méricourt
Closed ⋅ Opens 6:30 PM",10.868425588244111,True
Oberkampf,l'esprit tchaï,4.8,339,4.8(339) · €10–20,"l'esprit tchaï
4.8(339) · €10–20
Restaurant ·  · 115 Rue Oberkampf
Closed ⋅ Opens 11 AM Mon",10.626000107380449,True
Oberkampf,Chez Chouette,4.8,304,4.8(304) · €20–30,"Chez Chouette
4.8(304) · €20–30
French ·  · 30 Ave Parmentier
Opens soon ⋅ 8 AM",10.51702770140622,True
Oberkampf,Ober Mamma,4.7,15767,"4.7(15,767) · €20–30","Ober Mamma
4.7(15,767) · €20–30
Italian ·  · 107 Bd Richard-Lenoir
Closed ⋅ Opens 12 PM",14.365674427237483,True
Oberkampf,Pierre Sang on Gambey,4.7,1006,"4.7(1,006)","Pierre Sang on Gambey
4.7(1,006)
Haute French ·  · 6 Rue Gambey
Closed ⋅ Opens 12 PM",11.613737350659685,True
Oberkampf,Qui plume la lune,4.7,831,4.7(831) · €100+,"Qui plume la lune
4.7(831) · €100+
French ·  · 50 Rue Amelot
Fine dining in an intimate setting
Closed ⋅ Opens 12 PM Tue",11.42262979485545,True
Oberkampf,Onze À Table,4.7,692,4.7(692),"Onze À Table
4.7(692)
Restaurant ·  · 10 Rue de la Folie Méricourt
Charming bistro with rustic cooking
Closed ⋅ Opens 10 AM",11.23958595561767,True
Oberkampf,Géosmine,4.7,672,4.7(672) · €100+,"Géosmine
4.7(672) · €100+
Fine Dining ·  · 71 Rue de la Folie Méricourt
Closed ⋅ Opens 7:30 PM Tue",11.21025834052315,True
Oberkampf,L'Osteria Dell'Anima,4.7,671,4.7(671) · €20–30,"L'Osteria Dell'Anima
4.7(671) · €20–30
Italian · 37 Rue Oberkampf
Closed ⋅ Opens 12 PM Mon",11.208769136971682,True
Oberkampf,Siamsa,4.7,424,4.7(424) · €30–40,"Siamsa
4.7(424) · €30–40
Modern French ·  · 13 Rue de la Pierre Levée
Temporarily closed",10.749733455231958,True
Oberkampf,Kushikatsu Bon,4.7,336,4.7(336),"Kushikatsu Bon
4.7(336)
Japanese · 24 Rue Jean-Pierre Timbaud
Osaka cuisine in rustic-chic surrounds
Closed ⋅ Opens 7:30 PM Mon",10.517111159963203,True
Oberkampf,La Brigade - Oberkampf,4.6,2287,"4.6(2,287) · €10–20","La Brigade - Oberkampf
4.6(2,287) · €10–20
Restaurant ·  · 103 Rue Oberkampf
Closed ⋅ Opens 12 PM",12.33499619402278,True
Oberkampf,Maythai,4.6,2265,"4.6(2,265) · €30–40","Maythai
4.6(2,265) · €30–40
Thai ·  · 32 Av. de la République
Closed ⋅ Opens 12 PM",12.325330037917134,True
Oberkampf,Les Cuivres - Restaurant Paris 11,4.6,1543,"4.6(1,543) · €20–40","Les Cuivres - Restaurant Paris 11
4.6(1,543) · €20–40
Restaurant ·  · 68 Av. de la République
Closed ⋅ Opens 9:30 AM Mon",11.94148385236316,True
Oberkampf,Soya,4.6,1517,"4.6(1,517) · €20–30","Soya
4.6(1,517) · €20–30
Vegan · 20 Rue de la Pierre Levée
Mellow eatery for organic, vegan food
Closed ⋅ Opens 11:30 AM",11.924489979348532,True
Oberkampf,Café Méricourt,4.6,1125,"4.6(1,125) · €10–20","Café Méricourt
4.6(1,125) · €10–20
Brunch ·  · 22 Rue de la Folie Méricourt
Chill option for coffee & all-day brunch
Closed ⋅ Opens 9:30 AM",11.62553831463852,True
Oberkampf,Magma,4.6,513,4.6(513) · €100+,"Magma
4.6(513) · €100+
French · 9 Rue Jean-Pierre Timbaud
Closed ⋅ Opens 12:30 PM",10.840275845170769,True
Oberkampf,Bouche Paris,4.6,492,4.6(492),"Bouche Paris
4.6(492)
Restaurant · 85 Rue Jean-Pierre Timbaud
Closed ⋅ Opens 12 PM",10.798478716492308,True
Oberkampf,Pierre Sang,4.5,2639,"4.5(2,639) · $$","Pierre Sang
4.5(2,639) · $$
Restaurant ·  · 55 Rue Oberkampf
Closed ⋅ Opens 12 PM",12.378155336503324,True
Oberkampf,Restaurant les Fabricants,4.5,2047,"4.5(2,047) · €20–30","Restaurant les Fabricants
4.5(2,047) · €20–30
Restaurant ·  · 61 Rue Jean-Pierre Timbaud
Casual spot for Southwest dishes
Closed ⋅ Opens 12 PM",12.12413058566129,True
Oberkampf,Wall Street Oberkampf,4.5,635,4.5(635) · €10–20,"Wall Street Oberkampf
4.5(635) · €10–20
Restaurant ·  · 56 Av. de la République
Closed ⋅ Opens 5 PM Tue",10.953624998892693,True
